year,men,women
1950,70.29,72.58
1951,70.24,72.75
1952,70.96,73.29
1953,70.41,72.97
1954,70.96,73.83
1955,70.94,74.08
1956,70.97,74.1
1957,71.39,74.58
1958,71.46,74.84
1959,71.24,75.16
1960,71.39,75.3
1961,71.45,75.74
1962,70.95,75.56
1963,71.02,75.77
1964,71.27,76.27
1965,71.12,76.14
1966,71.03,76.12
1967,71.17,76.57
1968,70.92,76.44
1969,70.92,76.29
1970,70.81,76.5
1971,70.99,76.77
1972,70.81,76.79
1973,71.3,77.13
1974,71.61,77.61
1975,71.45,77.71
1976,71.53,77.92
1977,72.08,78.52
1978,71.95,78.5
1979,72.46,78.93
1980,72.48,79.19
1981,72.71,79.32
1982,72.75,79.44
1983,72.93,79.56
1984,72.96,79.67
1985,73.07,79.66
1986,73.09,79.61
1987,73.51,80.06
1988,73.69,80.24
1989,73.67,79.93
1990,73.84,80.11
1991,74.05,80.15
1992,74.3,80.28
1993,73.98,80
1994,74.58,80.31
1995,74.59,80.36
1996,74.66,80.35
1997,75.17,80.55
1998,75.19,80.69
1999,75.34,80.45
2000,75.54,80.58
2001,75.8,80.71
2002,75.99,80.69
2003,76.23,80.93
2004,76.87,81.44
2005,77.19,81.6
2006,77.63,81.89
2007,78.01,82.31
2008,78.32,82.28
2009,78.53,82.65
2010,78.77,82.72
2011,79.18,82.85
2012,79.14,82.82
2013,79.41,83.04
2014,79.87,83.29